District,Gender,Locality,Age ,Percentage,Economic Activity,District in Map
BAHAWALNAGAR DISTRICT,Female,Urban,40 - 44,88.71%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Female,Urban,45 - 49,87.85%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Female,Urban,50 - 54,88.47%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Female,Urban,55 - 59,89.34%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Female,Urban,60 - 64,89.24%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Female,Urban,65 - 69,86.56%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Female,Urban,70 - 74,82.69%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Female,Urban,75 & ABOVE,76.08%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Female,Urban,Between 10-14,11.56%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Male,Rural,10 & ABOVE,11.30%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Male,Rural,15 -  19,11.16%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Male,Rural,20 - 24,12.06%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Male,Rural,25 - 29,11.84%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Male,Rural,30 - 34,11.52%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Male,Rural,35 - 39,10.96%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Male,Rural,40 - 44,11.07%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Male,Rural,45 - 49,11.01%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Male,Rural,50 - 54,11.06%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Male,Rural,55 - 59,12.33%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Male,Rural,60 - 64,14.29%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Male,Rural,65 - 69,16.12%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Male,Rural,70 - 74,17.89%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Male,Rural,75 & ABOVE,19.95%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Male,Rural,Between 10-14,7.48%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Male,Urban,10 & ABOVE,4.64%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Male,Urban,15 -  19,3.40%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Male,Urban,20 - 24,4.20%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Male,Urban,25 - 29,3.99%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Male,Urban,30 - 34,3.45%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Male,Urban,35 - 39,3.32%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Male,Urban,40 - 44,3.56%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Male,Urban,45 - 49,3.33%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Male,Urban,50 - 54,4.43%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Male,Urban,55 - 59,5.82%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Male,Urban,60 - 64,11.19%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Male,Urban,65 - 69,15.92%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Male,Urban,70 - 74,20.09%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Male,Urban,75 & ABOVE,23.20%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Male,Urban,Between 10-14,2.68%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Transgender,Rural,10 & ABOVE,46.63%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Transgender,Rural,15 -  19,43.75%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Transgender,Rural,20 - 24,42.31%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Transgender,Rural,25 - 29,75.00%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Transgender,Rural,30 - 34,50.00%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Transgender,Rural,35 - 39,50.00%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Transgender,Rural,40 - 44,57.14%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Transgender,Rural,45 - 49,50.00%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Transgender,Rural,50 - 54,45.00%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Transgender,Rural,55 - 59,37.50%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Transgender,Rural,60 - 64,33.33%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Transgender,Rural,65 - 69,37.50%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Transgender,Rural,70 - 74,30.00%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Transgender,Rural,75 & ABOVE,18.18%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Transgender,Rural,Between 10-14,#DIV/0!,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Transgender,Urban,10 & ABOVE,26.45%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Transgender,Urban,15 -  19,37.50%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Transgender,Urban,20 - 24,37.50%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Transgender,Urban,25 - 29,7.14%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Transgender,Urban,30 - 34,20.00%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Transgender,Urban,35 - 39,21.43%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Transgender,Urban,40 - 44,33.33%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Transgender,Urban,45 - 49,10.00%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Transgender,Urban,50 - 54,25.00%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Transgender,Urban,55 - 59,22.22%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Transgender,Urban,60 - 64,37.50%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Transgender,Urban,65 - 69,50.00%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Transgender,Urban,70 - 74,66.67%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Transgender,Urban,75 & ABOVE,40.00%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Transgender,Urban,Between 10-14,#DIV/0!,House Keeping,Bahawalnagar
BAHAWALPUR DISTRICT,Female,Rural,10 & ABOVE,77.09%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Female,Rural,15 -  19,68.26%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Female,Rural,20 - 24,85.04%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Female,Rural,25 - 29,89.73%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Female,Rural,30 - 34,90.92%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Female,Rural,35 - 39,91.16%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Female,Rural,40 - 44,91.16%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Female,Rural,45 - 49,90.97%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Female,Rural,50 - 54,90.67%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Female,Rural,55 - 59,88.81%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Female,Rural,60 - 64,86.12%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Female,Rural,65 - 69,82.14%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Female,Rural,70 - 74,75.47%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Female,Rural,75 & ABOVE,68.48%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Female,Rural,Between 10-14,36.47%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Female,Urban,10 & ABOVE,65.34%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Female,Urban,15 -  19,39.36%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Female,Urban,20 - 24,63.93%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Female,Urban,25 - 29,81.01%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Female,Urban,30 - 34,86.42%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Female,Urban,35 - 39,87.68%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Female,Urban,40 - 44,88.14%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Female,Urban,45 - 49,87.69%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Female,Urban,50 - 54,87.58%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Female,Urban,55 - 59,87.34%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Female,Urban,60 - 64,86.39%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Female,Urban,65 - 69,82.72%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Female,Urban,70 - 74,77.71%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Female,Urban,75 & ABOVE,73.56%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Female,Urban,Between 10-14,14.03%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Male,Rural,10 & ABOVE,11.14%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Male,Rural,15 -  19,11.27%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Male,Rural,20 - 24,11.11%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Male,Rural,25 - 29,10.84%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Male,Rural,30 - 34,10.39%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Male,Rural,35 - 39,10.14%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Male,Rural,40 - 44,10.57%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Male,Rural,45 - 49,10.75%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Male,Rural,50 - 54,11.47%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Male,Rural,55 - 59,12.45%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Male,Rural,60 - 64,14.23%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Male,Rural,65 - 69,15.78%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Male,Rural,70 - 74,17.32%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Male,Rural,75 & ABOVE,19.30%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Male,Rural,Between 10-14,9.52%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Male,Urban,10 & ABOVE,4.02%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Male,Urban,15 -  19,3.46%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Male,Urban,20 - 24,3.16%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Male,Urban,25 - 29,2.88%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Male,Urban,30 - 34,3.00%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Male,Urban,35 - 39,3.06%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Male,Urban,40 - 44,3.22%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Male,Urban,45 - 49,3.37%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Male,Urban,50 - 54,4.15%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Male,Urban,55 - 59,5.74%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Male,Urban,60 - 64,9.39%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Male,Urban,65 - 69,13.14%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Male,Urban,70 - 74,15.13%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Male,Urban,75 & ABOVE,19.04%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Male,Urban,Between 10-14,3.20%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Rural,10 & ABOVE,44.00%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Rural,15 -  19,36.36%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Rural,20 - 24,50.00%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Rural,25 - 29,56.52%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Rural,30 - 34,45.45%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Rural,35 - 39,50.00%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Rural,40 - 44,72.73%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Rural,45 - 49,27.27%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Rural,50 - 54,20.00%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Rural,55 - 59,40.00%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Rural,60 - 64,33.33%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Rural,65 - 69,71.43%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Rural,70 - 74,20.00%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Rural,75 & ABOVE,37.50%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Rural,Between 10-14,#DIV/0!,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Urban,10 & ABOVE,21.19%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Urban,15 -  19,28.57%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Urban,20 - 24,19.05%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Urban,25 - 29,0.00%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Urban,30 - 34,31.82%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Urban,35 - 39,21.43%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Urban,40 - 44,14.29%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Urban,45 - 49,26.67%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Urban,50 - 54,16.67%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Urban,55 - 59,55.56%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Urban,60 - 64,25.00%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Urban,65 - 69,0.00%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Urban,70 - 74,0.00%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Urban,75 & ABOVE,16.67%,House Keeping,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Urban,Between 10-14,#DIV/0!,House Keeping,Bahawalpur
BHAKKAR DISTRICT,Female,Rural,10 & ABOVE,78.89%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Female,Rural,15 -  19,69.97%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Female,Rural,20 - 24,85.82%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Female,Rural,25 - 29,90.54%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Female,Rural,30 - 34,91.75%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Female,Rural,35 - 39,92.22%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Female,Rural,40 - 44,92.54%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Female,Rural,45 - 49,93.02%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Female,Rural,50 - 54,92.86%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Female,Rural,55 - 59,92.11%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Female,Rural,60 - 64,89.82%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Female,Rural,65 - 69,87.17%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Female,Rural,70 - 74,81.34%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Female,Rural,75 & ABOVE,76.48%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Female,Rural,Between 10-14,38.79%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Female,Urban,10 & ABOVE,67.15%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Female,Urban,15 -  19,38.97%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Female,Urban,20 - 24,68.11%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Female,Urban,25 - 29,83.52%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Female,Urban,30 - 34,87.72%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Female,Urban,35 - 39,89.11%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Female,Urban,40 - 44,89.34%,House Keeping,Bhakkar
